company,group_title,position,workplace,commitment,location,position_url
malbongolf,Corporate,Supply Chain Manager,On-site,Full-Time,"Santa Monica, CA",https://jobs.lever.co/malbongolf/6eddc314-1ff1-4c2f-a8b7-41c96929031c
Complex,Brand Partnerships,"Account Director, Brand Partnerships - CPG",On-site,Full-time,New York,https://jobs.lever.co/Complex/b150f1bf-6471-474c-b6fe-e1aae255b329
Complex,Brand Partnerships,"Account Director, Brand Partnerships - Entertainment",On-site,Full-time,Los Angeles,https://jobs.lever.co/Complex/28edc911-97b3-4f76-960a-2155a07edc49
Complex,Brand Partnerships,"Account Director, Brand Partnerships - Gaming",On-site,Full-time,Los Angeles,https://jobs.lever.co/Complex/f8d8ed49-a21a-42cb-a670-b8faa13a75b2
Complex,Brand Partnerships,"Account Director, Brand Partnerships - Latin",On-site,Full-time,New York,https://jobs.lever.co/Complex/1be433ae-4487-4c2b-ae8a-9eced8d2c2df
Complex,Brand Partnerships,"Account Director, Brand Partnerships - Technology",On-site,Full-time,Los Angeles,https://jobs.lever.co/Complex/6c2556a2-36fa-4a46-b8bd-88d487eae3ab
Complex,Brand Partnerships,"Account Director, Brand Partnerships - Technology",On-site,Full-time,San Francisco,https://jobs.lever.co/Complex/65824ae2-51a6-4559-ba69-0cb82e153eaa
Complex,Brand Partnerships,"Account Director, Brand Partnerships - Video",On-site,Full-time,New York,https://jobs.lever.co/Complex/e0e339f9-7834-4d99-8874-f9ad09f1ce49
Complex,Brand Partnerships,"Account Director, Brand Partnerships - Video",On-site,Full-time,Los Angeles,https://jobs.lever.co/Complex/f62dab15-7dd0-4190-a9b8-00a0b429dc83
Complex,Brand Partnerships,"Creative Project Manager, Strategy",On-site,Full-time,New York,https://jobs.lever.co/Complex/d40a759b-7522-4269-b54f-9a01495ab61f
Complex,Brand Partnerships,Presentation Designer- Freelance,On-site,Freelancer,New York,https://jobs.lever.co/Complex/d92bc984-24bb-42da-baf9-d5eaac5492cd
Complex,Brand Partnerships,Senior Graphic Designer (Digital and Experiential),On-site,,New York,https://jobs.lever.co/Complex/7ae5c824-b565-4ef4-aadc-221d21888456
Complex,Content,Line Producer,On-site,Full-time,New York,https://jobs.lever.co/Complex/f71ed433-5708-4163-88f7-b0e274c464e0
Complex,Content,Pop and Internet Culture Editor,On-site,Full-time,New York,https://jobs.lever.co/Complex/95a83d44-8ab7-402a-9039-ef2bac4b3f93
Complex,Content,Pop and Internet Culture Social Editor - Weekends,Remote,Freelancer,New York,https://jobs.lever.co/Complex/f00fc4d9-457b-4af1-8b20-aff9194e81cd
Complex,Content,Social Freelancer- Main,Remote,Freelancer,Remote,https://jobs.lever.co/Complex/480b2fcf-7cc3-4b7d-b813-0fea28661579
Complex,Content,"Social Freelancer, Complex Shop",Remote,Freelancer,New York,https://jobs.lever.co/Complex/c6643aa5-653a-4064-9df5-128116f22fb9
Complex,Content,"Social Freelancer, Music - Weekend Nights",Remote,Freelancer,New York,https://jobs.lever.co/Complex/5c7ff711-91b4-4a4d-9c07-619e65c6d135
Complex,Content,"Social Freelancer, Sneakers - Weekday Nights",Remote,Freelancer,New York,https://jobs.lever.co/Complex/7fb11dd2-e79e-4d1d-a76a-b5b85a89da45
Complex,Content,"Social Freelancer, Sports - Weekday Nights",Remote,Freelancer,New York,https://jobs.lever.co/Complex/095767e4-d016-4100-b75c-112ac911554d
Complex,Content,"Social Freelancer, Sports - Weekend Days",Remote,Freelancer,New York,https://jobs.lever.co/Complex/96120877-2bcc-406d-80d9-23f276c1abd9
Complex,Content,"Social Freelancer, Style - Weekday Nights",Remote,Freelancer,New York,https://jobs.lever.co/Complex/f6a21205-276d-4993-baf1-234c13d5b144
Complex,Content,"Social Freelancer, Style -Weekends",Remote,Freelancer,New York,https://jobs.lever.co/Complex/9a8cac14-9c52-4d5f-9532-0aea66805679
Complex,Content,Sports Content Creator,On-site,Full-time,New York,https://jobs.lever.co/Complex/7ba1697b-83e5-4728-8e87-070f378649fc
Complex,Content,Sports Editor,On-site,Full-time,New York,https://jobs.lever.co/Complex/d57ea9be-1f6a-4f18-8aef-42a9ae41e4bd
Complex,Creative Services,Junior Graphic Designer,Hybrid,Freelancer,Los Angeles,https://jobs.lever.co/Complex/e300161a-f39c-40dd-858e-087d21ef7a1a
Complex,Creative Services,Project Coordinator – Creative Operations,Hybrid,Freelancer,Los Angeles,https://jobs.lever.co/Complex/48d3c2fa-6b82-4286-a5f0-0457f05db116
Complex,Data,Audience Development Analyst,On-site,Full-time,New York,https://jobs.lever.co/Complex/02f1d484-b4df-4fa9-a2a4-0c3550a30bce
Complex,Design,Executive Creative Director,On-site,Full-time,New York,https://jobs.lever.co/Complex/5015679f-beb9-434d-82eb-5d54d0060cfd
Complex,Design,"Senior Designer, Core Brand",On-site,Full-time,New York,https://jobs.lever.co/Complex/99cd48be-5f2e-48b7-974e-05d29346eebf
Complex,Design,Senior Product Designer - New York,On-site,Full-time,New York,https://jobs.lever.co/Complex/b0e4f229-8fbb-4fd3-a8eb-12702400faba
